price,date_of_transfer,postcode,paon,saon,street,locality,town_city,district,county,property_type,old_new,duration,ppd_category_type,transaction_id
130000,1995-10-13,EN6 4DY,33,,CRANFIELD CRESCENT,CUFFLEY,POTTERS BAR,WELWYN HATFIELD,HERTFORDSHIRE,D,N,F,A,{F296F985-2CFE-4B8B-B57E-3DACD46C86D9}
150000,1997-05-09,EN6 4DY,11,,CRANFIELD CRESCENT,CUFFLEY,POTTERS BAR,WELWYN HATFIELD,HERTFORDSHIRE,D,N,F,A,{D450608E-2447-4A5A-B5F9-B2FD0F6662B5}
141500,1997-07-04,EN6 4DY,1,,CRANFIELD CRESCENT,CUFFLEY,POTTERS BAR,WELWYN HATFIELD,HERTFORDSHIRE,S,N,F,A,{D1C34EB7-1113-4471-8D14-A61B3E11620A}
119500,1997-09-26,EN6 4DY,5,,CRANFIELD CRESCENT,CUFFLEY,POTTERS BAR,WELWYN HATFIELD,HERTFORDSHIRE,S,N,F,A,{FD2B184F-AF15-49F1-9DD3-EEA45C9CB955}
173000,1998-07-03,EN6 4DY,33,,CRANFIELD CRESCENT,CUFFLEY,POTTERS BAR,WELWYN HATFIELD,HERTFORDSHIRE,D,N,F,A,{6ADE5C85-9DE5-45C2-AE5A-1C7F57A696D6}
35000,1998-12-08,EN6 4DY,15,,CRANFIELD CRESCENT,CUFFLEY,POTTERS BAR,WELWYN HATFIELD,HERTFORDSHIRE,S,N,F,A,{66936972-55A2-4005-BB56-F9FC800C85B3}
220000,2000-09-08,EN6 4DY,39,,CRANFIELD CRESCENT,CUFFLEY,POTTERS BAR,WELWYN HATFIELD,HERTFORDSHIRE,D,N,F,A,{71E3F43C-9855-4F1D-B892-554911B592B3}
215000,2002-01-31,EN6 4DY,1,,CRANFIELD CRESCENT,CUFFLEY,POTTERS BAR,WELWYN HATFIELD,HERTFORDSHIRE,S,N,F,A,{6BFE89B6-5585-44FE-BA46-5A1989DBD6CF}
235000,2002-08-06,EN6 4DY,15,,CRANFIELD CRESCENT,CUFFLEY,POTTERS BAR,WELWYN HATFIELD,HERTFORDSHIRE,S,N,F,A,{9ED1E9DF-B8AB-44DA-AF5D-32599BDD032E}
280000,2003-01-16,EN6 4DY,7,,CRANFIELD CRESCENT,CUFFLEY,POTTERS BAR,WELWYN HATFIELD,HERTFORDSHIRE,S,N,F,A,{357B6B17-E484-4833-8A77-318BF819DACA}
290000,2003-08-15,EN6 4DY,15,,CRANFIELD CRESCENT,CUFFLEY,POTTERS BAR,WELWYN HATFIELD,HERTFORDSHIRE,S,N,F,A,{5089696E-2611-4702-9D31-1BA548EE9311}
325000,2005-11-11,EN6 4DY,17,,CRANFIELD CRESCENT,CUFFLEY,POTTERS BAR,WELWYN HATFIELD,HERTFORDSHIRE,S,N,F,A,{84E58D44-252B-4D0F-B4C2-529562FFDDF8}
250000,2006-09-20,EN6 4DY,13,,CRANFIELD CRESCENT,CUFFLEY,POTTERS BAR,WELWYN HATFIELD,HERTFORDSHIRE,S,N,F,A,{53C0D73E-3E78-46CB-BC31-EC2E18B40EAD}
370000,2006-12-06,EN6 4DY,5,,CRANFIELD CRESCENT,CUFFLEY,POTTERS BAR,WELWYN HATFIELD,HERTFORDSHIRE,S,N,F,A,{528C2B0E-3F2B-4EC5-989B-AA9B53206053}
450000,2006-12-07,EN6 4DY,27,,CRANFIELD CRESCENT,CUFFLEY,POTTERS BAR,WELWYN HATFIELD,HERTFORDSHIRE,D,N,F,A,{F3A0C64A-E53B-48DA-BE51-DD89C598400A}
445000,2007-12-14,EN6 4DY,11,,CRANFIELD CRESCENT,CUFFLEY,POTTERS BAR,WELWYN HATFIELD,HERTFORDSHIRE,D,N,F,A,{7EEF3EED-1091-414B-9E41-2AB1492115B6}
296000,2009-02-23,EN6 4DY,35,,CRANFIELD CRESCENT,CUFFLEY,POTTERS BAR,WELWYN HATFIELD,HERTFORDSHIRE,D,N,F,A,{38450DA1-BA73-4900-9506-8BB38FF27D30}
460000,2010-11-30,EN6 4DY,39,,CRANFIELD CRESCENT,CUFFLEY,POTTERS BAR,WELWYN HATFIELD,HERTFORDSHIRE,D,N,F,A,{09C60257-9D9B-4F56-B657-84BB688B0D0A}
